"t (s)","V (mV)"
0,"12,866","2,554588173"
"0,97","12,8515","2,553460536"
"1,901","12,8239","2,551310617"
"2,865","12,8143","2,550561735"
"3,831","12,8023","2,549624842"
"4,83","12,7864","2,548382106"
"5,83","12,7867","2,548405568"
"6,831","12,7692","2,547036021"
"7,83","12,7526","2,545735172"
"8,83","12,731","2,544039964"
"9,83","12,7139","2,542695883"
"10,83","12,6941","2,541137319"
"11,83","12,6933","2,541074295"
"12,83","12,6578","2,538273626"
"13,83","12,6354","2,536502398"
"14,83","12,6214","2,535393786"
"15,83","12,5826","2,532314907"
"16,83","12,5961","2,533387242"
"17,83","12,5664","2,531026585"
"18,83","12,5409","2,528995303"
"19,83","12,5192","2,527263466"
"20,836","12,5136","2,526816053"
"21,83","12,4778","2,523951065"
"22,83","12,4703","2,523349817"
"23,83","12,4485","2,521600134"
"24,83","12,4288","2,52001636"
"25,83","12,4152","2,518921528"
"26,83","12,3873","2,516671754"
"27,83","12,3821","2,516251881"
"28,831","12,3656","2,514918424"
"29,83","12,3454","2,513283524"
"30,83","12,3162","2,510915469"
"31,83","12,2984","2,509469173"
"32,83","12,2757","2,507621699"
"33,83","12,2469","2,505272844"
"34,83","12,2038","2,501747379"
"35,83","12,1962","2,501124428"
"36,83","12,2079","2,502083283"
"37,831","12,1742","2,499318958"
"38,83","12,1673","2,498752025"
"39,83","12,1565","2,497864006"
"40,83","12,1401","2,496514023"
"41,83","12,1227","2,495079728"
"42,83","12,0999","2,493197188"
"43,83","12,0822","2,491733295"
"44,836","12,0757","2,491195169"
"45,831","12,0619","2,490051724"
"46,83","12,0329","2,487644565"
"47,83","12,02","2,486571929"
"48,83","12,0074","2,485523126"
"49,83","11,9924","2,484273116"
"50,83","11,9738","2,48272093"
"51,83","11,9571","2,481325244"
"52,83","11,9664","2,482102722"
"53,83","11,931","2,479140055"
"54,83","11,9127","2,477605058"
"55,831","11,9101","2,47738678"
"56,83","11,8698","2,473997359"
"57,83","11,8574","2,472952145"
"58,83","11,8375","2,471272459"
"59,83","11,8329","2,470883787"
"60,83","11,8175","2,469581484"
"61,83","11,8041","2,468446929"
"62,831","11,8028","2,468336791"
"63,83","11,7551","2,464287189"
"64,83","11,7285","2,462021777"
"65,83","11,7155","2,460912751"
"66,83","11,6897","2,458708112"
"67,831","11,6701","2,457030015"
"68,83","11,6639","2,456498602"
"69,83","11,6447","2,454851141"
"70,83","11,6244","2,453106337"
"71,83","11,6059","2,451513589"
"72,83","11,5945","2,450530848"
"73,83","11,5758","2,448916712"
"74,83","11,5639","2,447888177"
"75,83","11,546","2,446339057"
"76,83","11,5207","2,444145417"
"77,83","11,5114","2,443337849"
"78,83","11,4984","2,442207895"
"79,83","11,4806","2,440658654"
"80,83","11,4681","2,439569268"
"81,83","11,453","2,438251704"
"82,83","11,4344","2,436626356"
"83,83","11,4206","2,435418742"
"84,83","11,3978","2,433420354"
"85,83","11,364","2,430450464"
"86,83","11,35","2,429217744"
"87,831","11,3291","2,427374637"
"88,83","11,3114","2,425811067"
"89,83","11,3001","2,424811575"
"90,83","11,2865","2,423607321"
"91,83","11,2931","2,42419192"
"92,831","11,2776","2,422818457"
"93,83","11,2684","2,422002348"
"94,83","11,2477","2,420163663"
"95,831","11,2321","2,41877575"
"96,83","11,2123","2,41701139"
"97,831","11,1796","2,414090689"
"98,83","11,1749","2,413670192"
"99,83","11,1565","2,412022288"
"100,83","11,1352","2,410111262"
"101,83","11,1061","2,407494507"
"102,831","11,0932","2,406332308"
"103,83","11,0909","2,406124952"
"104,83","11,0748","2,404672257"
"105,83","11,0852","2,405610885"
"106,83","11,0691","2,404157443"
"107,83","11,0631","2,403615246"
"108,83","11,0367","2,401226083"
