"t (s)","V (mV)"
0,"13,1251","2,574526427"
"1,05","13,1288","2,57480829"
"2,101","13,1055","2,573031989"
"3,15","13,1114","2,573482081"
"4,17","13,1096","2,573344786"
"5,17","13,0715","2,570434288"
"6,17","13,0605","2,569592408"
"7,17","13,0582","2,569416289"
"8,171","13,038","2,567868171"
"9,171","13,0226","2,56668631"
"10,17","13,0134","2,565979596"
"11,17","13,0116","2,565841267"
"12,17","12,9819","2,56355608"
"13,17","12,9735","2,562908815"
"14,17","12,9636","2,56214543"
"15,17","12,9492","2,56103401"
"16,171","12,9343","2,559882697"
"17,17","12,9185","2,558660393"
"18,17","12,909","2,557924743"
"19,17","12,8857","2,556118169"
"20,17","12,8762","2,555380646"
"21,17","12,8522","2,553515003"
"22,17","12,8412","2,552658752"
"23,17","12,8238","2,551302819"
"24,17","12,8161","2,550702193"
"25,17","12,7925","2,548859062"
"26,17","12,7764","2,547599719"
"27,17","12,7643","2,546652212"
"28,171","12,7467","2,545272415"
"29,17","12,7406","2,544793745"
"30,17","12,7024","2,541790952"
"31,17","12,6817","2,540160009"
"32,17","12,655","2,538052394"
"33,17","12,649","2,537578161"
"34,17","12,6242","2,535615607"
"35,17","12,6112","2,534585308"
"36,17","12,6024","2,533887272"
"37,17","12,5635","2,530795785"
"38,17","12,5636","2,530803744"
"39,17","12,5555","2,530158817"
"40,17","12,5355","2,528564619"
"41,17","12,5293","2,528069901"
"42,17","12,5145","2,526887972"
"43,17","12,5007","2,525784643"
"44,17","12,4848","2,524511904"
"45,17","12,4935","2,525208509"
"46,171","12,4605","2,522563641"
"47,17","12,4655","2,522964828"
"48,171","12,4439","2,521230543"
"49,17","12,4449","2,5213109"
"50,171","12,4134","2,518776534"
"51,17","12,4021","2,517865813"
"52,17","12,4015","2,517817433"
"53,17","12,3748","2,515662147"
"54,17","12,3752","2,51569447"
"55,171","12,3497","2,513631771"
"56,17","12,3328","2,51226238"
"57,17","12,3062","2,5101032"
"58,17","12,3017","2,509737464"
"59,171","12,2812","2,508069638"
"60,17","12,2893","2,508728965"
"61,17","12,2808","2,508037067"
"62,17","12,2891","2,508712691"
"63,17","12,2459","2,505191187"
"64,17","12,2381","2,504554036"
"65,17","12,228","2,503728404"
"66,17","12,2296","2,503859243"
"67,17","12,1977","2,501247409"
"68,17","12,1791","2,499721368"
"69,17","12,1991","2,501362179"
"70,171","12,1712","2,499072505"
"71,17","12,1609","2,498225887"
"72,17","12,1415","2,496629336"
"73,17","12,1264","2,495384894"
"74,17","12,1239","2,495178711"
"75,17","12,1045","2,493577284"
"76,17","12,0989","2,493114539"
"77,17","12,0712","2,49082245"
"78,17","12,0686","2,490607038"
"79,17","12,0546","2,48944633"
"80,171","12,0655","2,49035014"
"81,17","12,0353","2,487843998"
"82,17","12,0421","2,488408843"
"83,17","12,035","2,487819071"
"84,17","12,0013","2,485014977"
"85,17","12,0015","2,485031642"
"86,17","11,9979","2,484731634"
"87,171","11,9754","2,482854546"
"88,17","11,9622","2,481751678"
"89,17","11,9321","2,479232247"
"90,17","11,9392","2,479827104"
"91,17","11,9289","2,478964027"
"92,17","11,9058","2,477025676"
"93,17","11,9107","2,477437156"
"94,17","11,8941","2,476042479"
"95,17","11,8977","2,476345104"
"96,17","11,8708","2,474081603"
"97,17","11,8513","2,472437566"
"98,17","11,8223","2,469987578"
"99,17","11,8454","2,471939607"
"100,17","11,8017","2,468243589"
"101,171","11,7753","2,466004117"
"102,17","11,7657","2,465188519"
"103,17","11,7646","2,465095022"
"104,17","11,7389","2,462908113"
"105,17","11,7226","2,461518603"
"106,17","11,7225","2,461510072"
"107,17","11,7103","2,460468796"
"108,17","11,7149","2,460861536"
"109,17","11,6832","2,458151912"
"110,171","11,6986","2,459469177"
"111,17","11,6898","2,458716667"
"112,17","11,6684","2,456884333"
"113,17","11,6283","2,453441782"
"114,171","11,6229","2,45297729"
"115,171","11,6253","2,453183758"
"116,17","11,6092","2,451797887"
"117,171","11,5962","2,450677458"
"118,17","11,5734","2,448709361"
"119,17","11,5983","2,450858536"
"120,17","11,5822","2,449469437"
"121,17","11,5428","2,446061866"
"122,17","11,5319","2,445117108"
"123,17","11,516","2,443737373"
"124,17","11,5321","2,445134451"
"125,17","11,4966","2,442051339"
"126,17","11,5024","2,442555709"
"127,17","11,4752","2,440188185"
"128,17","11,4502","2,438007197"
"129,17","11,4492","2,437919859"
"130,17","11,427","2,435978976"
"131,17","11,4281","2,436075235"
"132,17","11,4348","2,436661337"
"133,17","11,4148","2,434910759"
"134,17","11,4129","2,434744295"
"135,17","11,3877","2,432533826"
"136,17","11,3808","2,431927725"
"137,17","11,3933","2,433025463"
"138,17","11,378","2,431681666"
"139,17","11,4116","2,434630382"
"140,171","11,3717","2,431127813"
"141,17","11,3567","2,429807878"
"142,17","11,34","2,428336298"
"143,17","11,3549","2,429649369"
"144,17","11,324","2,426924367"
"145,171","11,3393","2,428274568"
"146,17","11,2948","2,424342443"
"147,17","11,3147","2,426102765"
"148,17","11,2766","2,422729782"
"149,17","11,2391","2,41939877"
"150,171","11,2606","2,421309907"
"151,17","11,2776","2,422818457"
"152,17","11,2482","2,420208116"
"153,17","11,2404","2,419514431"
"154,17","11,1837","2,414457361"
"155,17","11,2173","2,417457229"
"156,17","11,2035","2,416226229"
"157,17","11,1806","2,414180134"
"158,17","11,1472","2,411188345"
"159,171","11,1483","2,41128702"
"160,17","11,1595","2,412291153"
"161,17","11,1426","2,4107756"
"162,17","11,1441","2,41091021"
"163,17","11,0946","2,406458503"
"164,171","11,1255","2,409239771"
"165,17","11,1205","2,408790252"
"166,17","11,1064","2,407521519"
"167,17","11,1008","2,407017178"
"168,17","11,1048","2,407377447"
"169,17","11,0848","2,405574801"
"170,17","11,0597","2,403307871"
"171,17","11,0526","2,402665694"
"172,17","11,0582","2,403172234"
"173,17","11,0327","2,40086359"
"174,17","11,0457","2,402041212"
"175,17","11,0169","2,399430457"
"176,171","11,0199","2,399702729"
"177,17","11,0077","2,398595028"
"178,17","11,002","2,398077074"
"179,17","10,9809","2,3961574"
"180,17","10,9712","2,395273658"
"181,17","10,956","2,393887251"
"182,17","10,9518","2,393503826"
"183,17","10,9415","2,392562899"
"184,17","10,9091","2,389597303"
"185,17","10,9109","2,38976229"
"186,17","10,9002","2,388781138"
"187,171","10,894","2,388212179"
"188,17","10,8797","2,386898668"
"189,17","10,8699","2,385997501"
"190,17","10,8725","2,386236665"
"191,17","10,8511","2,384266457"
"192,17","10,8312","2,382430858"
"193,17","10,8178","2,381192926"
"194,171","10,8095","2,380425377"
"195,17","10,8046","2,379971969"
"196,17","10,7894","2,378564171"
"197,17","10,7881","2,378443675"
"198,17","10,7595","2,375789085"
"199,17","10,7602","2,375854142"
"200,17","10,7392","2,373900598"
"201,17","10,7369","2,373686407"
"202,17","10,7295","2,372996957"
"203,17","10,7139","2,371541964"
"204,17","10,7086","2,371047157"
"205,17","10,6952","2,369795043"
"206,17","10,698","2,370056808"
"207,171","10,6832","2,368672414"
"208,171","10,6754","2,367942029"
"209,17","10,6514","2,365691339"
"210,17","10,6432","2,364921191"
"211,17","10,6504","2,36559745"
"212,17","10,6292","2,363604931"
"213,171","10,6204","2,36277668"
"214,17","10,6206","2,362795511"
"215,169","10,5894","2,359853501"
