date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-04-18, 09:42:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-18, 09:42:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-18, 09:42:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-18, 09:42:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-18, 09:42:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-18, 09:42:54	0 Hz	0 W	1E3 mbar	5,8E2 mbar
2022-04-18, 09:42:56	0 Hz	0 W	1E3 mbar	3,9E2 mbar
2022-04-18, 09:42:58	0 Hz	0 W	1E3 mbar	3,2E2 mbar
2022-04-18, 09:43:00	0 Hz	0 W	1E3 mbar	2,7E2 mbar
2022-04-18, 09:43:02	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2022-04-18, 09:43:04	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-04-18, 09:43:06	0 Hz	0 W	5,5E2 mbar	1,4E2 mbar
2022-04-18, 09:43:08	0 Hz	0 W	3,4E2 mbar	1,2E2 mbar
2022-04-18, 09:43:10	0 Hz	0 W	2,5E2 mbar	9,3E1 mbar
2022-04-18, 09:43:12	0 Hz	0 W	1,7E2 mbar	7,8E1 mbar
2022-04-18, 09:43:14	0 Hz	0 W	1,5E2 mbar	6,7E1 mbar
2022-04-18, 09:43:16	0 Hz	0 W	1E2 mbar	5,9E1 mbar
2022-04-18, 09:43:18	0 Hz	0 W	8,6E1 mbar	5,2E1 mbar
2022-04-18, 09:43:20	0 Hz	0 W	6,8E1 mbar	4,6E1 mbar
2022-04-18, 09:43:22	0 Hz	0 W	6E1 mbar	3,9E1 mbar
2022-04-18, 09:43:24	0 Hz	0 W	5,1E1 mbar	3,6E1 mbar
2022-04-18, 09:43:26	0 Hz	0 W	4,2E1 mbar	3,3E1 mbar
2022-04-18, 09:43:28	0 Hz	0 W	3,7E1 mbar	2,9E1 mbar
2022-04-18, 09:43:30	0 Hz	0 W	3,3E1 mbar	2,5E1 mbar
2022-04-18, 09:43:32	0 Hz	0 W	3E1 mbar	2,2E1 mbar
2022-04-18, 09:43:34	0 Hz	0 W	2,6E1 mbar	1,9E1 mbar
2022-04-18, 09:43:36	0 Hz	0 W	2,2E1 mbar	1,8E1 mbar
2022-04-18, 09:43:38	0 Hz	0 W	1,9E1 mbar	1,6E1 mbar
2022-04-18, 09:43:40	0 Hz	0 W	1,8E1 mbar	1,5E1 mbar
2022-04-18, 09:43:42	0 Hz	0 W	1,7E1 mbar	1,3E1 mbar
2022-04-18, 09:43:44	0 Hz	0 W	1,5E1 mbar	1,2E1 mbar
2022-04-18, 09:43:46	0 Hz	0 W	1,4E1 mbar	1,1E1 mbar
2022-04-18, 09:43:48	0 Hz	0 W	1,2E1 mbar	9,9E0 mbar
2022-04-18, 09:43:50	0 Hz	0 W	1,1E1 mbar	9,4E0 mbar
2022-04-18, 09:43:52	0 Hz	0 W	1E1 mbar	8,9E0 mbar
2022-04-18, 09:43:54	0 Hz	0 W	9,5E0 mbar	8,5E0 mbar
2022-04-18, 09:43:56	0 Hz	0 W	9,1E0 mbar	8E0 mbar
2022-04-18, 09:43:58	0 Hz	0 W	8,6E0 mbar	7,5E0 mbar
2022-04-18, 09:44:00	0 Hz	0 W	8,3E0 mbar	7,1E0 mbar
2022-04-18, 09:44:02	0 Hz	0 W	7,9E0 mbar	6,8E0 mbar
2022-04-18, 09:44:04	0 Hz	0 W	7,5E0 mbar	6,6E0 mbar
2022-04-18, 09:44:06	0 Hz	0 W	7,1E0 mbar	6,5E0 mbar
2022-04-18, 09:44:08	0 Hz	0 W	6,8E0 mbar	6,3E0 mbar
2022-04-18, 09:44:10	0 Hz	0 W	6,7E0 mbar	6,2E0 mbar
2022-04-18, 09:44:12	0 Hz	0 W	6,5E0 mbar	6E0 mbar
2022-04-18, 09:44:14	0 Hz	0 W	6,4E0 mbar	5,9E0 mbar
2022-04-18, 09:44:16	0 Hz	0 W	6,3E0 mbar	5,8E0 mbar
2022-04-18, 09:44:18	0 Hz	0 W	6,2E0 mbar	5,6E0 mbar
2022-04-18, 09:44:20	0 Hz	0 W	6E0 mbar	5,5E0 mbar
2022-04-18, 09:44:22	0 Hz	0 W	5,9E0 mbar	5,4E0 mbar
2022-04-18, 09:44:24	0 Hz	0 W	5,9E0 mbar	5,3E0 mbar
2022-04-18, 09:44:26	0 Hz	0 W	5,8E0 mbar	5,2E0 mbar
2022-04-18, 09:44:28	0 Hz	0 W	5,7E0 mbar	5,1E0 mbar
2022-04-18, 09:44:30	0 Hz	0 W	5,6E0 mbar	5E0 mbar
2022-04-18, 09:44:32	0 Hz	0 W	5,5E0 mbar	4,9E0 mbar
2022-04-18, 09:44:34	0 Hz	0 W	5,4E0 mbar	4,9E0 mbar
2022-04-18, 09:44:36	0 Hz	0 W	5,3E0 mbar	4,8E0 mbar
2022-04-18, 09:44:38	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2022-04-18, 09:44:40	0 Hz	0 W	5,2E0 mbar	4,7E0 mbar
2022-04-18, 09:44:42	0 Hz	0 W	5,1E0 mbar	4,6E0 mbar
2022-04-18, 09:44:44	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-18, 09:44:46	0 Hz	0 W	5E0 mbar	4,5E0 mbar
2022-04-18, 09:44:48	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-18, 09:44:50	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2022-04-18, 09:44:52	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-18, 09:44:54	0 Hz	0 W	4,8E0 mbar	4,3E0 mbar
2022-04-18, 09:44:56	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-18, 09:44:58	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-18, 09:45:00	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-18, 09:45:02	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-18, 09:45:04	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-18, 09:45:06	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-18, 09:45:08	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-18, 09:45:10	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-18, 09:45:12	0 Hz	0 W	4,5E0 mbar	4E0 mbar
2022-04-18, 09:45:14	0 Hz	0 W	4,5E0 mbar	4E0 mbar
2022-04-18, 09:45:16	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2022-04-18, 09:45:18	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2022-04-18, 09:45:20	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-18, 09:45:22	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-18, 09:45:24	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-18, 09:45:26	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-18, 09:45:28	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-18, 09:45:30	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-18, 09:45:32	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-18, 09:45:34	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-18, 09:45:36	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-18, 09:45:38	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2022-04-18, 09:45:40	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-18, 09:45:42	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-18, 09:45:44	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-18, 09:45:46	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-18, 09:45:48	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-18, 09:45:50	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-18, 09:45:52	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-18, 09:45:54	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-18, 09:45:56	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:45:58	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:46:00	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:46:02	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:46:04	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:46:06	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:46:08	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:46:10	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:46:12	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:46:14	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-18, 09:46:16	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2022-04-18, 09:46:18	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2022-04-18, 09:46:20	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:22	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:24	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:26	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:28	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:30	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:32	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:34	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:36	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:38	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:40	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:42	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:44	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:46	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:48	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:50	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:52	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:54	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:56	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:46:58	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:47:00	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-18, 09:47:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:06	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:08	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:10	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:12	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:14	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:16	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:18	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:26	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:28	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:30	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:38	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:40	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
